ISIN,Price,Callable,Rating,Z_Spread
XS2009943379,94.97472,Y,NR,-58.77915382358702
DE000A289NF1,93.28439,Y,NR,-58.82509265655453
XS1637162592,98.07555,Y,A-,-59.112058346203405
BE6325355822,90.891,Y,A-,-59.3124724656834
XS2049583789,58.946,Y,A,-59.52173645741415
XS2233121792,97.18988,Y,NR,-60.11895413698292
FR0013173432,96.82401,Y,NR,-60.119967719397515
XS2188805845,93.133,Y,NR,-60.30057493240154
XS2331921390,96.597,N,NR,-60.75467240693122
XS2197675288,73.88616,Y,BBB-,-60.981841367050194
XS2187529180,89.37867,Y,A-,-60.98632859046588
XS2211183244,96.548,Y,BBB,-61.176429931537385
XS1980064833,95.07726,Y,A-,-61.46809319024748
DE000A1ZZ028,98.046,N,A,-61.76318045403335
FR0013518537,95.067,Y,NR,-62.3583048851555
XS2012102914,91.37041,Y,A,-62.39065858802463
FR0014009KQ0,95.452,Y,AA-,-62.56756485974725
XS2337061837,72.453,Y,BBB+,-62.594589192442896
XS1585010074,97.78845,Y,AA-,-62.59798752450653
XS2020670936,75.552,Y,A-,-62.62196055782581
XS2081018629,98.585,N,BBB+,-62.66889113572858
XS1747444831,97.067,N,A,-63.17205508546177
XS1991265395,94.83,Y,A+,-63.18648982899406
XS2231183646,94.613,Y,BBB-,-63.25797154307179
FR0013144003,97.07899,Y,AA-,-63.29043229842951
XS2348237871,96.83031,Y,BBB-,-63.36228288320517
XS2015329498,75.70499,Y,AA-,-63.42450664781489
XS2199604096,93.125,Y,NR,-63.45063180188851
XS2083147343,96.16023,Y,BBB-,-63.47110216722421
XS1750349190,97.04629,N,AA-,-63.713474290657324
XS2432565187,92.234,Y,NR,-63.754738854440106
XS1702729275,97.755,Y,BBB+,-63.89078445385749
XS2058888616,84.908,Y,NR,-63.94379351414804
FR0013422011,94.769,N,A-,-64.35738033023425
XS2431029441,89.96,Y,A,-64.62372603888161
FR0013286788,97.78751,Y,NR,-64.64443640401188
XS2412267515,94.0,Y,BBB-,-64.65323318907805
FR0013397288,97.43894,Y,A-,-64.96297302253151
XS1676933853,97.6,N,AA-,-65.07406578421708
XS2366415201,71.96115,Y,A-,-65.14121162382716
XS2446846888,84.2786,Y,AA-,-65.22125751539772
FR0013431715,60.043,Y,BBB,-65.29959810516756
FR0013310455,94.035,Y,A-,-65.30790361758322
XS1997077364,95.32664,Y,BBB+,-65.34437279612058
XS1218363270,93.20046,N,NR,-65.62501345152694
XS1955187775,96.92,N,AA-,-65.75206428154287
XS1875284702,97.939,Y,BBB+,-65.79555831433045
FR0013295722,88.55,Y,A-,-66.05587305267933
XS2411241693,89.315,Y,NR,-66.39239131088313
FR0013515871,98.27914,Y,NR,-67.16631547814836
XS2178769159,93.497,Y,BBB-,-67.55645090872444
XS2055647213,90.863,Y,A-,-67.88642173356077
XS2443893255,98.353,N,A,-67.91349001177196
FR0013449998,97.204,Y,BBB-,-68.16961052362372
XS1843436228,98.336,Y,BBB,-68.42133235422577
XS2449928543,95.29488,Y,NR,-68.6878772125303
XS2028104037,95.12759,Y,BBB,-68.72133952806401
XS2444286145,95.90649,Y,NR,-68.77802778814369
XS2177442295,90.458,Y,BBB-,-68.85034337516574
XS2363203089,87.776,Y,BBB,-68.85559402417734
XS1202213291,98.57,Y,BBB+,-68.88646092458595
XS2079107830,94.501,Y,BBB+,-68.98019034068419
FR0013252277,98.44826,Y,BBB+,-68.99924842164855
DE000A2LQJ75,97.24622,Y,NR,-69.10226147841956
XS2156598281,93.81,Y,BBB,-69.77706311739949
FR0014006TQ7,94.481,Y,NR,-69.88999129658369
FR0013266350,98.232,Y,A-,-69.89011988546046
XS1689185426,97.93482,Y,A-,-69.93316917859275
XS1205548164,93.506,N,BBB,-69.95234224252009
FR0013283140,89.422,Y,NR,-70.32885732909402
XS2463961248,92.14763,Y,A,-70.54466724848784
FR0014002QG3,95.739,Y,BBB,-70.5729651698371
XS2458285355,93.974,Y,A-,-70.63473684730229
XS1979490239,95.703,Y,A+,-71.03181985604792
XS1401196958,98.16181,N,NR,-71.0358069525513
FR0013284205,97.542,Y,A-,-71.5663794914391
XS1955024986,91.87,N,A+,-71.60086826960392
XS2166619663,99.03,Y,NR,-71.60182381035828
FR0013519279,93.562,Y,NR,-71.66384424911635
XS1673102734,98.05289,Y,BBB,-71.82509223148875
XS2447983813,95.511,N,A+,-71.82893903614624
XS1689535000,97.654,N,AA-,-71.94117123494905
ES0211845310,98.373,N,BBB-,-72.14820950093086
XS1815116998,97.172,Y,BBB+,-72.21764398186608
XS2198574209,93.103,Y,NR,-72.25321778257648
